Northern goshawk,Accipitridae,Accipitriformes,Accipiter
Northern lapwing,Charadriidae,Charadriiformes,Vanellus
Northern pintail,Anatidae,Anseriformes,Anas
Common raven,Corvidae,Passeriformes,Corvus
Northern shoveler,Anatidae,Anseriformes,Spatula
Northern wheatear,Muscicapidae,Passeriformes,Oenanthe
Nubian nightjar,Caprimulgidae,Caprimulgiformes,Caprimulgus
Olive-backed pipit,Motacillidae,Passeriformes,Anthus
Olive-tree warbler,Acrocephalidae,Passeriformes,Hippolais
Oriental cuckoo,Cuculidae,Cuculiformes,Cuculus
Oriental pratincole,Glareolidae,Charadriiformes,Glareola
Oriental reed warbler,Acrocephalidae,Passeriformes,Acrocephalus
Oriental skylark,Alaudidae,Passeriformes,Alauda
Oriental turtle dove,Columbidae,Columbiformes,Streptopelia
Ortolan bunting,Emberizidae,Passeriformes,Emberiza
Over-Summering,,,
Pacific golden plover,Charadriidae,Charadriiformes,Pluvialis
Paddyfield warbler,Acrocephalidae,Passeriformes,Acrocephalus
Pale crag martin,Hirundinidae,Passeriformes,Ptyonoprogne
Pale rockfinch,Passeridae,Passeriformes,Carpospiza
Palestine sunbird,Nectariniidae,Passeriformes,Cinnyris
Pallas's grasshopper warbler,Locustellidae,Passeriformes,Helopsaltes
Pallas's gull,Laridae,Charadriiformes,Ichthyaetus
Pallas's leaf warbler,Phylloscopidae,Passeriformes,Phylloscopus
Pallid harrier,Accipitridae,Accipitriformes,Circus
Pallid scops owl,Strigidae,Strigiformes,Otus
Pallid swift,Apodidae,Apodiformes,Apus
Parasitic jaeger,Stercorariidae,Charadriiformes,Stercorarius
Passage Migrant,,,
Pectoral sandpiper,Scolopacidae,Charadriiformes,Calidris
Peregrine falcon,Falconidae,Falconiformes,Falco
Persian shearwater,Procellariidae,Procellariiformes,Puffinus
Pharaoh eagle-owl,Strigidae,Strigiformes,Bubo
Pied avocet,Recurvirostridae,Charadriiformes,Recurvirostra
Pied bush chat,Muscicapidae,Passeriformes,Saxicola
Pied kingfisher,Alcedinidae,Coraciiformes,Ceryle
Pied wheatear,Muscicapidae,Passeriformes,Oenanthe
Pin-tailed sandgrouse,Pteroclidae,Columbiformes,Pterocles
Pin-tailed snipe,Scolopacidae,Charadriiformes,Gallinago
Pine bunting,Emberizidae,Passeriformes,Emberiza
Pink-backed pelican,Pelecanidae,Pelecaniformes,Pelecanus
Plain martin,,,
Pomarine jaeger,Stercorariidae,Charadriiformes,Stercorarius
Purple heron,Ardeidae,Pelecaniformes,Ardea
Pygmy cormorant,Phalacrocoracidae,Suliformes,Microcarbo
